Default Dataset,
X,Y
0.623556582,10
0.731408776,8.75042175
0.831408776,7.283143058
1.03926097,5.576693958
1.454965358,4.341913423
2.07852194,3.269585914
2.494226328,2.462092401
3.325635104,1.94919403
4.15704388,1.543141664
5.19630485,1.242232532
6.859122402,0.983453031
8.521939954,0.805002263
10.18475751,0.681292069
12.47113164,0.586294665
14.75750577,0.504543425
17.04387991,0.448925126
18.91454965,0.412992371
20.36951501,0.392828419
22.03233256,0.367466194
23.69515012,0.349525013
25.15011547,0.338053555
27.43648961,0.316227766
29.51501155,0.300788252
31.80138568,0.281368427
33.87990762,0.272133877
36.16628176,0.258847204
38.45265589,0.250351804
40.94688222,0.238128619
43.02540416,0.230313206
45.72748268,0.219068387
48.63741339,0.208372585
51.33949192,0.201533769
54.45727483,0.191694078
56.95150115,0.188522122
59.65357968,0.179317712
62.77136259,0.17343248
65.26558891,0.167740403
67.55196305,0.16223514
70.46189376,0.156910561
73.57967667,0.149249555
76.90531178,0.144351164
80.02309469,0.137303358
83.1408776,0.132797043
86.05080831,0.126313356
88.54503464,0.122167735
90,0.120146229
